TwoStage Config: BETA=0.001, ALPHA=0.5, epochs=150
Loading player data (season 2019-26)...
  170772 rows loaded
  train=136880  val=33892
Loading game outcomes...
Game outcomes loaded: 4,995 games, cols=['gameId', 'home_score', 'away_score', 'home_pace', 'home_poss', 'away_pace', 'away_poss']
  4995 games with outcomes
Building loaders (raw targets)...
  done
  team_dim=256  player_dim=24
--no-resume — starting from epoch 0.
Training two-stage model epochs 0–149
Epoch 038/149 | beta 0.00100 | train recon 0.1480  game_mse 0.0000  kl/dim 0.510 | val recon 0.1556  game_mse nan  kl/dim 0.309
Epoch 039/149 | beta 0.00100 | train recon 0.1470  game_mse 0.0000  kl/dim 0.508 | val recon 0.1562  game_mse nan  kl/dim 0.324
Epoch 040/149 | beta 0.00100 | train recon 0.1481  game_mse 0.0000  kl/dim 0.509 | val recon 0.1571  game_mse nan  kl/dim 0.322
  [diag] P(over|z) std: mean=0.0211  std=0.0112  (target >0.05)
Epoch 041/149 | beta 0.00100 | train recon 0.1470  game_mse 0.0000  kl/dim 0.508 | val recon 0.1570  game_mse nan  kl/dim 0.301
Epoch 042/149 | beta 0.00100 | train recon 0.1473  game_mse 0.0000  kl/dim 0.509 | val recon 0.1570  game_mse nan  kl/dim 0.317
Epoch 043/149 | beta 0.00100 | train recon 0.1471  game_mse 0.0000  kl/dim 0.508 | val recon 0.1558  game_mse nan  kl/dim 0.322
Epoch 044/149 | beta 0.00100 | train recon 0.1461  game_mse 0.0000  kl/dim 0.509 | val recon 0.1571  game_mse nan  kl/dim 0.319
Epoch 045/149 | beta 0.00100 | train recon 0.1465  game_mse 0.0000  kl/dim 0.509 | val recon 0.1569  game_mse nan  kl/dim 0.329
Epoch 046/149 | beta 0.00100 | train recon 0.1463  game_mse 0.0000  kl/dim 0.509 | val recon 0.1563  game_mse nan  kl/dim 0.382
Epoch 047/149 | beta 0.00100 | train recon 0.1474  game_mse 0.0000  kl/dim 0.511 | val recon 0.1559  game_mse nan  kl/dim 0.328
Epoch 048/149 | beta 0.00100 | train recon 0.1458  game_mse 0.0000  kl/dim 0.510 | val recon 0.1564  game_mse nan  kl/dim 0.329
Epoch 049/149 | beta 0.00100 | train recon 0.1455  game_mse 0.0000  kl/dim 0.509 | val recon 0.1560  game_mse nan  kl/dim 0.329
Epoch 050/149 | beta 0.00100 | train recon 0.1442  game_mse 0.0000  kl/dim 0.510 | val recon 0.1568  game_mse nan  kl/dim 0.312
  [diag] P(over|z) std: mean=0.0219  std=0.0117  (target >0.05)
Epoch 051/149 | beta 0.00100 | train recon 0.1437  game_mse 0.0000  kl/dim 0.509 | val recon 0.1560  game_mse nan  kl/dim 0.347
