Attention Config: BETA=0.001, epochs=150, ckpt_dir=checkpoints/exp_attention
Extracting PBP assist features (one-time, may take ~10 min)...
Loading PlayByPlay.parquet (this may take a few minutes)...
  Loaded 18,583,620 rows
  Made FGs: 2,925,500
Computing rolling assist rates per player...
Saved 693,341 rows to /Users/ag7/Documents/ML Projects/NBA Correlation/data/processed/pbp_features.csv
PBP features extracted.
  PBP features: 693,341 rows
Loading data (season 2019-26)...
  170772 rows after merge
  train=136880  val=33892
  player extra cols: ['home', 'cov_pts_ast', 'cov_pts_reb', 'rolling_ast_given_rate', 'rolling_ast_received_rate']
  make_loaders done
  team_dim=256  player_dim=26
--no-resume — starting from epoch 0.
Training attention model epochs 0–149
Epoch 046/149 | beta 0.00100 | train recon 0.4147  kl/dim 0.506 | val recon 0.4350  kl/dim 0.261
Epoch 047/149 | beta 0.00100 | train recon 0.4129  kl/dim 0.505 | val recon 0.4381  kl/dim 0.280
Epoch 048/149 | beta 0.00100 | train recon 0.4134  kl/dim 0.505 | val recon 0.4353  kl/dim 0.291
Epoch 049/149 | beta 0.00100 | train recon 0.4139  kl/dim 0.504 | val recon 0.4370  kl/dim 0.255
Epoch 050/149 | beta 0.00100 | train recon 0.4130  kl/dim 0.508 | val recon 0.4358  kl/dim 0.270
  [diag] P(over|z) std: mean=0.0164  std=0.0067  (target >0.05)
Epoch 051/149 | beta 0.00100 | train recon 0.4127  kl/dim 0.504 | val recon 0.4359  kl/dim 0.278
Epoch 052/149 | beta 0.00100 | train recon 0.4125  kl/dim 0.505 | val recon 0.4378  kl/dim 0.272
Epoch 053/149 | beta 0.00100 | train recon 0.4120  kl/dim 0.506 | val recon 0.4340  kl/dim 0.255
Epoch 054/149 | beta 0.00100 | train recon 0.4133  kl/dim 0.505 | val recon 0.4341  kl/dim 0.267
Epoch 055/149 | beta 0.00100 | train recon 0.4110  kl/dim 0.506 | val recon 0.4354  kl/dim 0.254
Epoch 056/149 | beta 0.00100 | train recon 0.4121  kl/dim 0.507 | val recon 0.4365  kl/dim 0.255
Epoch 057/149 | beta 0.00100 | train recon 0.4117  kl/dim 0.506 | val recon 0.4346  kl/dim 0.240
Epoch 058/149 | beta 0.00100 | train recon 0.4115  kl/dim 0.506 | val recon 0.4355  kl/dim 0.275
Epoch 059/149 | beta 0.00100 | train recon 0.4112  kl/dim 0.505 | val recon 0.4359  kl/dim 0.247
Epoch 060/149 | beta 0.00100 | train recon 0.4115  kl/dim 0.506 | val recon 0.4352  kl/dim 0.263
  [diag] P(over|z) std: mean=0.0160  std=0.0065  (target >0.05)
Epoch 061/149 | beta 0.00100 | train recon 0.4106  kl/dim 0.506 | val recon 0.4388  kl/dim 0.267
Epoch 062/149 | beta 0.00100 | train recon 0.4100  kl/dim 0.505 | val recon 0.4362  kl/dim 0.240
Epoch 063/149 | beta 0.00100 | train recon 0.4104  kl/dim 0.507 | val recon 0.4337  kl/dim 0.250
Epoch 064/149 | beta 0.00100 | train recon 0.4099  kl/dim 0.507 | val recon 0.4357  kl/dim 0.262
Epoch 065/149 | beta 0.00100 | train recon 0.4096  kl/dim 0.507 | val recon 0.4378  kl/dim 0.259
