TwoStage Config: BETA=0.001, ALPHA=0.5, epochs=150
Loading player data (season 2019-26)...
  170772 rows loaded
  train=136880  val=33892
Loading game outcomes...
Game outcomes loaded: 52,625 games, cols=['gameId', 'home_score', 'away_score', 'home_pace', 'away_pace', 'home_poss', 'away_poss']
  52625 games with outcomes
Building loaders (raw targets)...
  done
  team_dim=256  player_dim=24
--no-resume — starting from epoch 0.
Training two-stage model epochs 0–149
Epoch 036/149 | beta 0.00100 | train recon 0.1612  game_mse 0.6231  kl/dim 0.654 | val recon 0.1589  game_mse 0.9392  kl/dim 0.489
Epoch 037/149 | beta 0.00100 | train recon 0.1607  game_mse 0.6212  kl/dim 0.658 | val recon 0.1576  game_mse 0.9415  kl/dim 0.456
Epoch 038/149 | beta 0.00100 | train recon 0.1601  game_mse 0.6192  kl/dim 0.650 | val recon 0.1579  game_mse 0.9419  kl/dim 0.476
Epoch 039/149 | beta 0.00100 | train recon 0.1606  game_mse 0.6116  kl/dim 0.661 | val recon 0.1582  game_mse 0.9479  kl/dim 0.462
Epoch 040/149 | beta 0.00100 | train recon 0.1598  game_mse 0.6019  kl/dim 0.659 | val recon 0.1570  game_mse 0.9508  kl/dim 0.463
  [diag] P(over|z) std: mean=0.0165  std=0.0093  (target >0.05)
Epoch 041/149 | beta 0.00100 | train recon 0.1604  game_mse 0.6010  kl/dim 0.655 | val recon 0.1578  game_mse 0.9506  kl/dim 0.466
Epoch 042/149 | beta 0.00100 | train recon 0.1603  game_mse 0.6024  kl/dim 0.655 | val recon 0.1570  game_mse 0.9407  kl/dim 0.467
Epoch 043/149 | beta 0.00100 | train recon 0.1576  game_mse 0.5891  kl/dim 0.661 | val recon 0.1582  game_mse 0.9467  kl/dim 0.434
Epoch 044/149 | beta 0.00100 | train recon 0.1595  game_mse 0.5939  kl/dim 0.654 | val recon 0.1586  game_mse 0.9528  kl/dim 0.481
Epoch 045/149 | beta 0.00100 | train recon 0.1595  game_mse 0.5915  kl/dim 0.661 | val recon 0.1568  game_mse 0.9516  kl/dim 0.476
Epoch 046/149 | beta 0.00100 | train recon 0.1572  game_mse 0.5958  kl/dim 0.661 | val recon 0.1583  game_mse 0.9596  kl/dim 0.467
Epoch 047/149 | beta 0.00100 | train recon 0.1598  game_mse 0.5876  kl/dim 0.659 | val recon 0.1584  game_mse 0.9611  kl/dim 0.445
Epoch 048/149 | beta 0.00100 | train recon 0.1586  game_mse 0.5891  kl/dim 0.658 | val recon 0.1580  game_mse 0.9695  kl/dim 0.452
Epoch 049/149 | beta 0.00100 | train recon 0.1585  game_mse 0.5917  kl/dim 0.660 | val recon 0.1574  game_mse 0.9490  kl/dim 0.444
Epoch 050/149 | beta 0.00100 | train recon 0.1586  game_mse 0.5907  kl/dim 0.663 | val recon 0.1576  game_mse 0.9451  kl/dim 0.460
  [diag] P(over|z) std: mean=0.0165  std=0.0096  (target >0.05)
Epoch 051/149 | beta 0.00100 | train recon 0.1579  game_mse 0.5810  kl/dim 0.660 | val recon 0.1578  game_mse 0.9591  kl/dim 0.464
