,importance
h_points,0.14753343306114622
h_numMinutes,0.12658920681484367
h_usage_share,0.11554084024631812
away_actual_margin,0.08066121290091632
home_actual_margin,0.07547754055660989
home,0.06691844571492014
h_assists,0.033693650893326106
home_actual_pace,0.02879822799426206
away_actual_to_rate,0.025241193310035857
home_actual_oreb_rate,0.023151672930920412
home_actual_to_rate,0.021959819994494464
away_actual_pace,0.021739326546164374
h_off_rating,0.021560840525827584
h_usage_rate,0.01980831860699413
h_pace,0.019770462945321497
home_actual_ast_rate,0.01845982848227634
away_actual_oreb_rate,0.01825637043136806
away_actual_ast_rate,0.016955515317876247
h_reboundsTotal,0.014907870459346393
days_rest,0.014384819026978914
h_def_rating,0.013027364960185693
away_actual_rim_rate,0.011630714928414054
home_actual_midrange_rate,0.011599967730442076
away_actual_midrange_rate,0.010623204325435504
away_actual_3pa_rate,0.009200423732260717
h_implied_total,0.007724352654960865
home_actual_rim_rate,0.007227004453813831
home_actual_3pa_rate,0.006095998655686953
away_actual_assisted_rate,0.006032240964939082
home_actual_assisted_rate,0.004788973401832146
is_b2b,0.0006411574320820483
