personId,gameId,home,points,assists,reboundsTotal
2544,22400062,1,16.0,4.0,5.0
2544,22400085,1,21.0,8.0,4.0
2544,22400096,1,32.0,10.0,14.0
2544,22400111,0,11.0,8.0,5.0
2544,22400118,0,26.0,3.0,6.0
2544,22400137,0,27.0,10.0,6.0
2544,22400156,0,20.0,11.0,8.0
2544,22400174,0,39.0,6.0,7.0
2544,22400195,1,21.0,13.0,12.0
2544,22400211,1,19.0,16.0,10.0
2544,22400225,1,35.0,14.0,12.0
2544,22400015,0,15.0,12.0,16.0
2544,22400231,0,21.0,5.0,7.0
2544,22400026,1,26.0,12.0,2.0
2544,22400263,1,31.0,7.0,10.0
2544,22400270,1,18.0,7.0,6.0
2544,22400039,0,18.0,10.0,8.0
2544,22400296,0,16.0,11.0,10.0
2544,22400048,1,12.0,6.0,8.0
2544,22400311,0,27.0,14.0,5.0
2544,22400318,0,10.0,4.0,8.0
2544,22400321,0,29.0,8.0,5.0
2544,22400334,0,39.0,11.0,10.0
2544,22401220,1,18.0,8.0,8.0
2544,22400372,0,19.0,7.0,6.0
2544,22400376,0,32.0,6.0,7.0
2544,22400404,1,28.0,11.0,11.0
2544,22400408,0,31.0,10.0,4.0
2544,22400454,1,23.0,7.0,4.0
2544,22400468,1,38.0,8.0,3.0
2544,22400477,1,30.0,8.0,3.0
2544,22400491,0,21.0,9.0,13.0
2544,22400504,0,18.0,8.0,10.0
2544,22400552,1,18.0,8.0,5.0
2544,22400570,1,22.0,9.0,5.0
2544,22400585,1,29.0,8.0,7.0
2544,22400596,0,25.0,11.0,5.0
2544,22400610,1,21.0,13.0,10.0
2544,22400629,1,20.0,6.0,14.0
2544,22400644,0,25.0,12.0,5.0
2544,22400648,0,22.0,8.0,7.0
2544,22400660,0,31.0,9.0,8.0
2544,22400674,0,24.0,11.0,3.0
2544,22400692,0,33.0,12.0,11.0
2544,22400715,0,26.0,9.0,8.0
2544,22400731,1,42.0,8.0,17.0
2544,22400768,1,24.0,8.0,7.0
2544,22400781,0,18.0,7.0,6.0
2544,22400796,0,40.0,4.0,8.0
2544,22400808,0,25.0,5.0,9.0
2544,22400835,1,27.0,3.0,12.0
2544,22400849,1,33.0,6.0,17.0
2544,22400859,1,28.0,3.0,13.0
2544,22400874,1,17.0,9.0,5.0
2544,22400890,1,34.0,6.0,8.0
2544,22400903,1,31.0,8.0,12.0
2544,22400918,0,22.0,9.0,14.0
2544,22401028,1,17.0,4.0,6.0
2544,22401038,0,24.0,7.0,6.0
2544,22401055,0,13.0,7.0,13.0
2544,22401063,0,17.0,12.0,5.0
2544,22401078,0,25.0,8.0,6.0
2544,22401096,1,16.0,4.0,8.0
2544,22401117,1,33.0,9.0,5.0
2544,22401126,1,27.0,8.0,0.0
2544,22401135,0,19.0,7.0,3.0
2544,22401153,0,28.0,3.0,7.0
2544,22401159,0,27.0,3.0,7.0
2544,22401185,1,14.0,8.0,4.0
101108,22400074,0,3.0,8.0,7.0
101108,22400094,1,3.0,9.0,0.0
101108,22400109,1,16.0,3.0,1.0
101108,22400125,0,14.0,9.0,5.0
101108,22400130,0,19.0,10.0,7.0
101108,22400146,1,15.0,13.0,4.0
101108,22400168,0,14.0,10.0,6.0
101108,22400173,0,10.0,4.0,2.0
101108,22400183,1,6.0,6.0,2.0
101108,22400197,1,3.0,9.0,2.0
101108,22400216,1,12.0,11.0,6.0
101108,22400224,1,9.0,11.0,3.0
101108,22400015,1,11.0,11.0,2.0
101108,22400232,0,11.0,3.0,5.0
101108,22400025,1,14.0,11.0,5.0
101108,22400262,1,13.0,10.0,5.0
101108,22400269,1,9.0,7.0,3.0
101108,22400038,0,14.0,4.0,1.0
101108,22400296,1,5.0,6.0,2.0
101108,22400313,0,13.0,10.0,2.0
101108,22400057,0,2.0,8.0,8.0
101108,22400331,1,12.0,9.0,4.0
101108,22400337,1,11.0,13.0,8.0
101108,22400354,1,6.0,10.0,7.0
101108,22401215,0,5.0,4.0,3.0
101108,22401218,1,0.0,9.0,4.0
101108,22400370,1,12.0,8.0,7.0
101108,22400386,1,6.0,9.0,4.0
101108,22400394,0,12.0,8.0,4.0
101108,22400405,0,13.0,7.0,6.0
101108,22400421,0,5.0,5.0,2.0
101108,22400441,0,6.0,14.0,5.0
101108,22400451,1,7.0,4.0,9.0
101108,22400475,0,7.0,11.0,8.0
