personId,gameId,home,points,assists,reboundsTotal
2544.0,22200016,1.0,20.0,6.0,10.0
2544.0,22200037,1.0,31.0,8.0,8.0
2544.0,22200064,0.0,19.0,9.0,7.0
2544.0,22200076,0.0,28.0,5.0,7.0
2544.0,22200095,1.0,26.0,8.0,6.0
2544.0,22200117,1.0,20.0,8.0,10.0
2544.0,22200131,1.0,17.0,8.0,10.0
2544.0,22200140,1.0,27.0,4.0,7.0
2544.0,22200170,0.0,30.0,5.0,8.0
2544.0,22200282,0.0,21.0,5.0,8.0
2544.0,22200288,0.0,39.0,3.0,11.0
2544.0,22200308,1.0,21.0,3.0,7.0
2544.0,22200324,1.0,31.0,8.0,7.0
2544.0,22200331,0.0,28.0,11.0,8.0
2544.0,22200349,0.0,29.0,6.0,8.0
2544.0,22200360,0.0,21.0,4.0,17.0
2544.0,22200382,0.0,23.0,6.0,4.0
2544.0,22200396,0.0,35.0,5.0,5.0
2544.0,22200413,1.0,33.0,9.0,9.0
2544.0,22200437,1.0,30.0,4.0,9.0
2544.0,22200451,1.0,33.0,9.0,7.0
2544.0,22200475,0.0,31.0,11.0,6.0
2544.0,22200492,1.0,34.0,8.0,2.0
2544.0,22200494,0.0,38.0,5.0,6.0
2544.0,22200505,0.0,28.0,5.0,7.0
2544.0,22200518,0.0,27.0,6.0,9.0
2544.0,22200530,0.0,47.0,9.0,10.0
2544.0,22200551,0.0,43.0,6.0,11.0
2544.0,22200590,1.0,25.0,10.0,7.0
2544.0,22200595,0.0,37.0,7.0,8.0
2544.0,22200630,1.0,24.0,9.0,16.0
2544.0,22200655,1.0,35.0,10.0,8.0
2544.0,22200664,1.0,48.0,9.0,8.0
2544.0,22200677,1.0,32.0,9.0,8.0
2544.0,22200690,1.0,23.0,6.0,9.0
2544.0,22200705,0.0,37.0,4.0,11.0
2544.0,22200719,1.0,46.0,7.0,8.0
2544.0,22200729,1.0,20.0,11.0,9.0
2544.0,22200749,0.0,41.0,8.0,9.0
2544.0,22200765,0.0,28.0,11.0,10.0
2544.0,22200778,0.0,26.0,7.0,7.0
2544.0,22200798,0.0,27.0,6.0,9.0
2544.0,22200821,1.0,38.0,3.0,7.0
2544.0,22200882,1.0,21.0,6.0,6.0
2544.0,22200893,1.0,13.0,8.0,9.0
2544.0,22200913,0.0,26.0,3.0,8.0
2544.0,22201114,1.0,19.0,3.0,8.0
2544.0,22201140,0.0,25.0,4.0,8.0
2544.0,22201157,0.0,18.0,6.0,10.0
2544.0,22201171,0.0,18.0,11.0,10.0
2544.0,22201186,0.0,37.0,6.0,5.0
2544.0,22201196,0.0,33.0,7.0,8.0
2544.0,22201212,1.0,16.0,6.0,6.0
2544.0,22201228,1.0,36.0,6.0,6.0
2544.0,22300061,0.0,21.0,5.0,8.0
2544.0,22300076,1.0,21.0,9.0,8.0
2544.0,22300100,0.0,27.0,8.0,15.0
2544.0,22300111,1.0,19.0,4.0,3.0
2544.0,22300127,1.0,35.0,7.0,12.0
2544.0,22300134,0.0,24.0,5.0,9.0
2544.0,22300150,0.0,30.0,3.0,4.0
2544.0,22300163,0.0,18.0,2.0,6.0
2544.0,22300198,1.0,28.0,12.0,10.0
2544.0,22300216,1.0,37.0,8.0,6.0
2544.0,22300238,1.0,26.0,7.0,9.0
2544.0,22300242,0.0,22.0,6.0,6.0
2544.0,22300255,0.0,18.0,5.0,0.0
2544.0,22300258,0.0,25.0,3.0,8.0
2544.0,22300271,0.0,21.0,6.0,12.0
2544.0,22300291,1.0,16.0,7.0,4.0
2544.0,22300306,0.0,33.0,9.0,8.0
2544.0,22300331,0.0,23.0,14.0,7.0
2544.0,22300359,1.0,25.0,11.0,11.0
2544.0,22300370,0.0,25.0,9.0,10.0
2544.0,22300397,0.0,40.0,7.0,7.0
2544.0,22300403,1.0,16.0,8.0,9.0
2544.0,22300428,1.0,17.0,11.0,4.0
2544.0,22300443,0.0,26.0,6.0,3.0
2544.0,22300446,0.0,34.0,8.0,5.0
2544.0,22300475,1.0,12.0,9.0,6.0
2544.0,22300491,1.0,32.0,7.0,5.0
2544.0,22300505,1.0,25.0,7.0,8.0
2544.0,22300516,1.0,22.0,12.0,5.0
2544.0,22300531,1.0,10.0,9.0,5.0
2544.0,22300565,1.0,25.0,6.0,7.0
2544.0,22300577,1.0,25.0,8.0,8.0
2544.0,22300591,1.0,24.0,5.0,11.0
2544.0,22300605,1.0,28.0,5.0,5.0
2544.0,22300633,1.0,25.0,12.0,4.0
2544.0,22300650,0.0,36.0,12.0,20.0
2544.0,22300662,0.0,23.0,10.0,6.0
2544.0,22300669,0.0,20.0,8.0,9.0
2544.0,22300701,0.0,24.0,5.0,5.0
2544.0,22300713,0.0,26.0,7.0,4.0
2544.0,22300740,1.0,25.0,7.0,9.0
2544.0,22300747,1.0,21.0,14.0,4.0
2544.0,22300776,1.0,25.0,8.0,1.0
2544.0,22300813,1.0,30.0,9.0,7.0
2544.0,22300818,0.0,28.0,12.0,7.0
2544.0,22300848,0.0,34.0,8.0,6.0
2544.0,22300856,1.0,31.0,9.0,4.0
2544.0,22300869,1.0,26.0,9.0,4.0
2544.0,22300884,1.0,19.0,8.0,11.0
2544.0,22300901,1.0,31.0,13.0,5.0
2544.0,22300932,1.0,29.0,9.0,8.0
2544.0,22300954,0.0,18.0,9.0,13.0
2544.0,22300973,1.0,40.0,9.0,8.0
2544.0,22300990,1.0,25.0,10.0,7.0
2544.0,22301018,1.0,20.0,6.0,8.0
2544.0,22301032,1.0,26.0,10.0,5.0
2544.0,22301055,0.0,23.0,12.0,14.0
2544.0,22301063,0.0,16.0,8.0,10.0
2544.0,22301078,0.0,40.0,5.0,7.0
2544.0,22301094,0.0,23.0,9.0,4.0
2544.0,22301103,0.0,25.0,9.0,7.0
2544.0,22301127,1.0,24.0,12.0,5.0
2544.0,22301155,1.0,33.0,11.0,7.0
2544.0,22301177,0.0,37.0,5.0,9.0
2544.0,22301195,0.0,28.0,17.0,11.0
2544.0,22400062,1.0,16.0,4.0,5.0
2544.0,22400085,1.0,21.0,8.0,4.0
2544.0,22400096,1.0,32.0,10.0,14.0
2544.0,22400111,0.0,11.0,8.0,5.0
2544.0,22400118,0.0,26.0,3.0,6.0
2544.0,22400137,0.0,27.0,10.0,6.0
2544.0,22400156,0.0,20.0,11.0,8.0
2544.0,22400174,0.0,39.0,6.0,7.0
2544.0,22400195,1.0,21.0,13.0,12.0
2544.0,22400211,1.0,19.0,16.0,10.0
2544.0,22400225,1.0,35.0,14.0,12.0
2544.0,22400015,0.0,15.0,12.0,16.0
2544.0,22400231,0.0,21.0,5.0,7.0
2544.0,22400026,1.0,26.0,12.0,2.0
2544.0,22400263,1.0,31.0,7.0,10.0
2544.0,22400270,1.0,18.0,7.0,6.0
2544.0,22400039,0.0,18.0,10.0,8.0
2544.0,22400296,0.0,16.0,11.0,10.0
2544.0,22400048,1.0,12.0,6.0,8.0
2544.0,22400311,0.0,27.0,14.0,5.0
2544.0,22400318,0.0,10.0,4.0,8.0
2544.0,22400321,0.0,29.0,8.0,5.0
2544.0,22400334,0.0,39.0,11.0,10.0
2544.0,22401220,1.0,18.0,8.0,8.0
2544.0,22400372,0.0,19.0,7.0,6.0
2544.0,22400376,0.0,32.0,6.0,7.0
2544.0,22400404,1.0,28.0,11.0,11.0
2544.0,22400408,0.0,31.0,10.0,4.0
2544.0,22400454,1.0,23.0,7.0,4.0
2544.0,22400468,1.0,38.0,8.0,3.0
2544.0,22400477,1.0,30.0,8.0,3.0
2544.0,22400491,0.0,21.0,9.0,13.0
2544.0,22400504,0.0,18.0,8.0,10.0
2544.0,22400552,1.0,18.0,8.0,5.0
2544.0,22400570,1.0,22.0,9.0,5.0
2544.0,22400585,1.0,29.0,8.0,7.0
2544.0,22400596,0.0,25.0,11.0,5.0
2544.0,22400610,1.0,21.0,13.0,10.0
2544.0,22400629,1.0,20.0,6.0,14.0
2544.0,22400644,0.0,25.0,12.0,5.0
2544.0,22400648,0.0,22.0,8.0,7.0
2544.0,22400660,0.0,31.0,9.0,8.0
2544.0,22400674,0.0,24.0,11.0,3.0
2544.0,22400692,0.0,33.0,12.0,11.0
2544.0,22400715,0.0,26.0,9.0,8.0
2544.0,22400731,1.0,42.0,8.0,17.0
2544.0,22400768,1.0,24.0,8.0,7.0
2544.0,22400781,0.0,18.0,7.0,6.0
2544.0,22400796,0.0,40.0,4.0,8.0
2544.0,22400808,0.0,25.0,5.0,9.0
2544.0,22400835,1.0,27.0,3.0,12.0
2544.0,22400849,1.0,33.0,6.0,17.0
2544.0,22400859,1.0,28.0,3.0,13.0
2544.0,22400874,1.0,17.0,9.0,5.0
2544.0,22400890,1.0,34.0,6.0,8.0
2544.0,22400903,1.0,31.0,8.0,12.0
2544.0,22400918,0.0,22.0,9.0,14.0
2544.0,22401028,1.0,17.0,4.0,6.0
2544.0,22401038,0.0,24.0,7.0,6.0
2544.0,22401055,0.0,13.0,7.0,13.0
2544.0,22401063,0.0,17.0,12.0,5.0
2544.0,22401078,0.0,25.0,8.0,6.0
2544.0,22401096,1.0,16.0,4.0,8.0
2544.0,22401117,1.0,33.0,9.0,5.0
2544.0,22401126,1.0,27.0,8.0,0.0
2544.0,22401135,0.0,19.0,7.0,3.0
2544.0,22401153,0.0,28.0,3.0,7.0
2544.0,22401159,0.0,27.0,3.0,7.0
2544.0,22401185,1.0,14.0,8.0,4.0
2617.0,22200081,0.0,3.0,0.0,1.0
2617.0,22200314,0.0,0.0,0.0,1.0
2617.0,22200328,0.0,0.0,0.0,1.0
2617.0,22200424,0.0,0.0,0.0,2.0
2617.0,22200780,0.0,0.0,0.0,2.0
2617.0,22201219,1.0,24.0,0.0,3.0
2738.0,22200615,1.0,2.0,3.0,1.0
2738.0,22200635,0.0,5.0,1.0,4.0
2738.0,22200964,0.0,0.0,2.0,0.0
2738.0,22200982,0.0,2.0,3.0,2.0
2738.0,22200996,0.0,0.0,4.0,1.0
2738.0,22201012,1.0,2.0,2.0,5.0
2738.0,22201025,1.0,6.0,3.0,2.0
101108.0,22200027,0.0,10.0,12.0,4.0
101108.0,22200043,0.0,7.0,11.0,8.0
101108.0,22200055,1.0,16.0,9.0,7.0
101108.0,22200079,1.0,7.0,9.0,5.0
101108.0,22200094,1.0,10.0,15.0,1.0
101108.0,22200106,1.0,15.0,12.0,8.0
101108.0,22200130,1.0,7.0,11.0,2.0
101108.0,22200139,1.0,15.0,4.0,5.0
101108.0,22200148,0.0,2.0,2.0,2.0
101108.0,22200373,1.0,4.0,4.0,4.0
101108.0,22200384,0.0,24.0,7.0,8.0
101108.0,22200395,0.0,6.0,11.0,3.0
101108.0,22200411,0.0,16.0,7.0,6.0
101108.0,22200427,0.0,15.0,13.0,7.0
101108.0,22200444,1.0,18.0,8.0,5.0
101108.0,22200459,1.0,28.0,8.0,4.0
101108.0,22200464,1.0,12.0,11.0,4.0
101108.0,22200490,1.0,10.0,3.0,2.0
101108.0,22200497,0.0,17.0,16.0,4.0
101108.0,22200510,0.0,14.0,6.0,1.0
101108.0,22200516,0.0,20.0,6.0,2.0
101108.0,22200531,0.0,20.0,12.0,5.0
101108.0,22200550,0.0,11.0,2.0,4.0
101108.0,22200565,0.0,25.0,8.0,4.0
101108.0,22200589,1.0,5.0,1.0,0.0
101108.0,22200703,1.0,22.0,11.0,6.0
101108.0,22200718,1.0,14.0,11.0,5.0
101108.0,22200734,1.0,22.0,10.0,6.0
101108.0,22200748,0.0,31.0,11.0,7.0
101108.0,22200762,1.0,19.0,9.0,4.0
101108.0,22200777,1.0,3.0,3.0,2.0
101108.0,22200788,0.0,15.0,8.0,6.0
101108.0,22200794,0.0,2.0,14.0,4.0
101108.0,22200817,0.0,9.0,12.0,2.0
101108.0,22200832,0.0,15.0,8.0,5.0
101108.0,22200836,0.0,19.0,9.0,2.0
101108.0,22200870,1.0,17.0,19.0,5.0
101108.0,22200885,1.0,5.0,11.0,3.0
101108.0,22200899,1.0,16.0,6.0,2.0
101108.0,22200910,0.0,18.0,7.0,5.0
101108.0,22200933,0.0,2.0,11.0,2.0
101108.0,22200950,0.0,11.0,10.0,6.0
101108.0,22200962,0.0,11.0,7.0,6.0
101108.0,22200990,1.0,18.0,9.0,4.0
101108.0,22201013,1.0,16.0,16.0,6.0
101108.0,22201025,0.0,11.0,11.0,5.0
101108.0,22201033,1.0,11.0,8.0,4.0
101108.0,22201046,1.0,16.0,7.0,2.0
101108.0,22201064,0.0,14.0,13.0,6.0
101108.0,22201092,0.0,18.0,4.0,4.0
101108.0,22201105,0.0,15.0,13.0,6.0
101108.0,22201110,1.0,13.0,7.0,5.0
101108.0,22201125,0.0,9.0,10.0,3.0
101108.0,22201144,1.0,19.0,6.0,3.0
101108.0,22201160,1.0,5.0,13.0,6.0
101108.0,22201172,0.0,16.0,8.0,3.0
101108.0,22201188,1.0,22.0,3.0,2.0
101108.0,22201201,1.0,25.0,2.0,6.0
101108.0,22300062,1.0,14.0,9.0,6.0
101108.0,22300087,0.0,10.0,12.0,2.0
101108.0,22300096,0.0,8.0,7.0,5.0
101108.0,22300108,0.0,13.0,5.0,6.0
101108.0,22300126,1.0,2.0,8.0,4.0
101108.0,22300142,0.0,5.0,2.0,1.0
101108.0,22300145,0.0,17.0,6.0,5.0
101108.0,22300169,0.0,9.0,4.0,5.0
101108.0,22300176,1.0,9.0,9.0,3.0
101108.0,22300186,1.0,2.0,5.0,1.0
101108.0,22300201,1.0,15.0,8.0,3.0
101108.0,22300207,1.0,12.0,11.0,4.0
101108.0,22300224,1.0,15.0,12.0,6.0
101108.0,22300236,0.0,6.0,6.0,2.0
101108.0,22301214,1.0,2.0,6.0,3.0
101108.0,22300308,0.0,15.0,11.0,5.0
101108.0,22300325,0.0,12.0,3.0,2.0
101108.0,22300339,1.0,2.0,11.0,4.0
101108.0,22300348,0.0,4.0,8.0,4.0
101108.0,22300362,1.0,9.0,12.0,7.0
101108.0,22300386,1.0,4.0,10.0,7.0
101108.0,22300399,1.0,2.0,11.0,3.0
101108.0,22300402,0.0,13.0,3.0,3.0
101108.0,22300426,1.0,9.0,4.0,4.0
101108.0,22300444,1.0,24.0,6.0,2.0
101108.0,22300463,1.0,12.0,4.0,2.0
101108.0,22300478,1.0,9.0,6.0,4.0
101108.0,22300490,1.0,8.0,4.0,6.0
