Config: BETA=0.001, lambda_gs=1.0, epochs=100, season=2019-26
  LATENT_DIM=32, H_DIM_ENC=128, H_DIM_DEC=64
  G_DIM=12, GS_TARGET_COLS=['home_actual_pace', 'home_actual_3pa_rate', 'home_actual_ast_rate', 'home_actual_to_rate', 'home_actual_margin', 'home_actual_oreb_rate', 'away_actual_pace', 'away_actual_3pa_rate', 'away_actual_ast_rate', 'away_actual_to_rate', 'away_actual_margin', 'away_actual_oreb_rate']
Loading data...
  170772 rows loaded
  train=136880  val=33892
Building tensors and loaders (with game state G)...
  make_loaders_gs done
  team_dim=256  player_dim=24
--no-resume: starting fresh.
Training epochs 0–99
Epoch 036/99 | beta 0.00100 | train: recon 0.4531 kl/dim 0.921 gs 0.7387 | val: recon 0.4660 kl/dim 0.733 gs 0.9267
Epoch 037/99 | beta 0.00100 | train: recon 0.4532 kl/dim 0.946 gs 0.7338 | val: recon 0.4669 kl/dim 0.729 gs 0.9194
Epoch 038/99 | beta 0.00100 | train: recon 0.4529 kl/dim 0.939 gs 0.7303 | val: recon 0.4661 kl/dim 0.698 gs 0.9199
Epoch 039/99 | beta 0.00100 | train: recon 0.4516 kl/dim 0.934 gs 0.7263 | val: recon 0.4659 kl/dim 0.707 gs 0.9229
  [DIAG] P(over|z) std=0.0141  GS R²=0.132
Epoch 040/99 | beta 0.00100 | train: recon 0.4524 kl/dim 0.943 gs 0.7279 | val: recon 0.4659 kl/dim 0.715 gs 0.9223
Epoch 041/99 | beta 0.00100 | train: recon 0.4514 kl/dim 0.945 gs 0.7268 | val: recon 0.4670 kl/dim 0.689 gs 0.9275
Epoch 042/99 | beta 0.00100 | train: recon 0.4517 kl/dim 0.950 gs 0.7256 | val: recon 0.4664 kl/dim 0.721 gs 0.9210
Epoch 043/99 | beta 0.00100 | train: recon 0.4523 kl/dim 0.953 gs 0.7207 | val: recon 0.4662 kl/dim 0.717 gs 0.9256
Epoch 044/99 | beta 0.00100 | train: recon 0.4513 kl/dim 0.957 gs 0.7174 | val: recon 0.4660 kl/dim 0.728 gs 0.9259
Epoch 045/99 | beta 0.00100 | train: recon 0.4504 kl/dim 0.946 gs 0.7154 | val: recon 0.4659 kl/dim 0.702 gs 0.9261
Epoch 046/99 | beta 0.00100 | train: recon 0.4520 kl/dim 0.963 gs 0.7206 | val: recon 0.4660 kl/dim 0.724 gs 0.9262
Epoch 047/99 | beta 0.00100 | train: recon 0.4517 kl/dim 0.966 gs 0.7127 | val: recon 0.4659 kl/dim 0.728 gs 0.9257
Epoch 048/99 | beta 0.00100 | train: recon 0.4512 kl/dim 0.958 gs 0.7098 | val: recon 0.4664 kl/dim 0.736 gs 0.9272
Epoch 049/99 | beta 0.00100 | train: recon 0.4513 kl/dim 0.957 gs 0.7138 | val: recon 0.4646 kl/dim 0.732 gs 0.9236
  [DIAG] P(over|z) std=0.0142  GS R²=0.129
Epoch 050/99 | beta 0.00100 | train: recon 0.4503 kl/dim 0.968 gs 0.7094 | val: recon 0.4669 kl/dim 0.712 gs 0.9285
Epoch 051/99 | beta 0.00100 | train: recon 0.4507 kl/dim 0.955 gs 0.7111 | val: recon 0.4662 kl/dim 0.696 gs 0.9264
Epoch 052/99 | beta 0.00100 | train: recon 0.4498 kl/dim 0.960 gs 0.7077 | val: recon 0.4654 kl/dim 0.708 gs 0.9284
Epoch 053/99 | beta 0.00100 | train: recon 0.4504 kl/dim 0.955 gs 0.7020 | val: recon 0.4665 kl/dim 0.687 gs 0.9309
Epoch 054/99 | beta 0.00100 | train: recon 0.4495 kl/dim 0.959 gs 0.7029 | val: recon 0.4661 kl/dim 0.713 gs 0.9386
Epoch 055/99 | beta 0.00100 | train: recon 0.4506 kl/dim 0.959 gs 0.6991 | val: recon 0.4656 kl/dim 0.700 gs 0.9326
Epoch 056/99 | beta 0.00100 | train: recon 0.4498 kl/dim 0.971 gs 0.6965 | val: recon 0.4660 kl/dim 0.709 gs 0.9336
Epoch 057/99 | beta 0.00100 | train: recon 0.4499 kl/dim 0.972 gs 0.7023 | val: recon 0.4665 kl/dim 0.683 gs 0.9311
Epoch 058/99 | beta 0.00100 | train: recon 0.4487 kl/dim 0.973 gs 0.6943 | val: recon 0.4658 kl/dim 0.742 gs 0.9339
Epoch 059/99 | beta 0.00100 | train: recon 0.4493 kl/dim 0.975 gs 0.6968 | val: recon 0.4655 kl/dim 0.689 gs 0.9323
  [DIAG] P(over|z) std=0.0140  GS R²=0.120
Epoch 060/99 | beta 0.00100 | train: recon 0.4505 kl/dim 0.966 gs 0.6947 | val: recon 0.4658 kl/dim 0.704 gs 0.9326
Epoch 061/99 | beta 0.00100 | train: recon 0.4493 kl/dim 0.975 gs 0.6948 | val: recon 0.4661 kl/dim 0.697 gs 0.9310
Epoch 062/99 | beta 0.00100 | train: recon 0.4498 kl/dim 0.976 gs 0.6922 | val: recon 0.4659 kl/dim 0.698 gs 0.9312
Epoch 063/99 | beta 0.00100 | train: recon 0.4493 kl/dim 0.965 gs 0.6909 | val: recon 0.4663 kl/dim 0.704 gs 0.9350
Epoch 064/99 | beta 0.00100 | train: recon 0.4497 kl/dim 0.959 gs 0.6908 | val: recon 0.4668 kl/dim 0.680 gs 0.9325
Epoch 065/99 | beta 0.00100 | train: recon 0.4490 kl/dim 0.967 gs 0.6865 | val: recon 0.4663 kl/dim 0.717 gs 0.9348
Epoch 066/99 | beta 0.00100 | train: recon 0.4480 kl/dim 0.987 gs 0.6866 | val: recon 0.4658 kl/dim 0.720 gs 0.9357
Epoch 067/99 | beta 0.00100 | train: recon 0.4483 kl/dim 0.981 gs 0.6828 | val: recon 0.4655 kl/dim 0.726 gs 0.9372
Epoch 068/99 | beta 0.00100 | train: recon 0.4490 kl/dim 0.981 gs 0.6829 | val: recon 0.4659 kl/dim 0.732 gs 0.9430
Epoch 069/99 | beta 0.00100 | train: recon 0.4490 kl/dim 0.975 gs 0.6858 | val: recon 0.4661 kl/dim 0.706 gs 0.9368
  [DIAG] P(over|z) std=0.0135  GS R²=0.114
Epoch 070/99 | beta 0.00100 | train: recon 0.4489 kl/dim 0.981 gs 0.6814 | val: recon 0.4665 kl/dim 0.686 gs 0.9381
Epoch 071/99 | beta 0.00100 | train: recon 0.4490 kl/dim 0.973 gs 0.6823 | val: recon 0.4655 kl/dim 0.711 gs 0.9453
Epoch 072/99 | beta 0.00100 | train: recon 0.4495 kl/dim 0.981 gs 0.6771 | val: recon 0.4662 kl/dim 0.715 gs 0.9402
Epoch 073/99 | beta 0.00100 | train: recon 0.4479 kl/dim 0.983 gs 0.6729 | val: recon 0.4656 kl/dim 0.713 gs 0.9395
Epoch 074/99 | beta 0.00100 | train: recon 0.4485 kl/dim 0.984 gs 0.6807 | val: recon 0.4652 kl/dim 0.700 gs 0.9405
Epoch 075/99 | beta 0.00100 | train: recon 0.4480 kl/dim 0.983 gs 0.6702 | val: recon 0.4655 kl/dim 0.706 gs 0.9404
Epoch 076/99 | beta 0.00100 | train: recon 0.4473 kl/dim 0.983 gs 0.6770 | val: recon 0.4666 kl/dim 0.711 gs 0.9419
Epoch 077/99 | beta 0.00100 | train: recon 0.4484 kl/dim 0.983 gs 0.6745 | val: recon 0.4659 kl/dim 0.724 gs 0.9451
Epoch 078/99 | beta 0.00100 | train: recon 0.4483 kl/dim 0.991 gs 0.6720 | val: recon 0.4654 kl/dim 0.716 gs 0.9459
Epoch 079/99 | beta 0.00100 | train: recon 0.4483 kl/dim 0.991 gs 0.6678 | val: recon 0.4660 kl/dim 0.703 gs 0.9466
  [DIAG] P(over|z) std=0.0131  GS R²=0.106
Epoch 080/99 | beta 0.00100 | train: recon 0.4479 kl/dim 0.991 gs 0.6697 | val: recon 0.4654 kl/dim 0.703 gs 0.9410
Epoch 081/99 | beta 0.00100 | train: recon 0.4481 kl/dim 1.000 gs 0.6676 | val: recon 0.4654 kl/dim 0.697 gs 0.9459
Epoch 082/99 | beta 0.00100 | train: recon 0.4479 kl/dim 0.996 gs 0.6702 | val: recon 0.4656 kl/dim 0.709 gs 0.9440
Epoch 083/99 | beta 0.00100 | train: recon 0.4486 kl/dim 0.994 gs 0.6693 | val: recon 0.4657 kl/dim 0.690 gs 0.9427
Epoch 084/99 | beta 0.00100 | train: recon 0.4490 kl/dim 0.983 gs 0.6649 | val: recon 0.4668 kl/dim 0.683 gs 0.9470
Epoch 085/99 | beta 0.00100 | train: recon 0.4473 kl/dim 0.980 gs 0.6623 | val: recon 0.4670 kl/dim 0.680 gs 0.9456
Epoch 086/99 | beta 0.00100 | train: recon 0.4471 kl/dim 0.985 gs 0.6634 | val: recon 0.4655 kl/dim 0.704 gs 0.9496
